"player","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV","G","EFF","salaries","position"
"Matthew Dellavedova",569,162,337,44,9,304,9,116,76,0.0137470360162377,1147280,"PG"
"Channing Frye",196,93,26,8,8,90,3,13,26,0.0163204586291711,7807579,"C"
"Kyrie Irving",1041,157,249,56,18,485,22,124,53,0.0261319422848912,14746000,"PG"
"LeBron James",1920,565,514,104,49,679,132,249,76,0.046566894672378,22971000,"SF"
"Richard Jefferson",410,128,59,33,14,169,29,43,74,0.00920006792227331,1499000,"SF"
"Dahntay Jones",13,5,2,1,2,8,0,0,1,0.0240547333674324,8819,"SF"
"James Jones",178,50,14,11,10,84,5,13,48,0.00562993987840036,1499000,"SF"
"Sasha Kaun",23,26,3,4,5,8,6,7,25,0.00301871639734047,1300000,"C"
"Kevin Love",1234,762,186,58,41,568,56,142,77,0.0394844543138198,19500000,"PF"
"Jordan McRae",62,12,15,0,1,29,4,9,15,0.0050384458131643,172972,"PG"
"Timofey Mozgov",475,337,33,22,57,156,27,71,76,0.0166134132528821,4950000,"C"
"Iman Shumpert",311,203,92,54,19,191,11,57,54,0.0125934958112072,9e+06,"SG"
"J.R. Smith",955,217,130,81,21,497,26,59,77,0.0181316644159184,5e+06,"SG"
"Tristan Thompson",643,738,62,38,51,173,93,61,82,0.0297831638255353,14260870,"PF"
"Mo Williams",338,72,98,14,5,170,4,57,41,0.0111366838965156,2100000,"PG"
"Anthony Bennett",28,23,0,5,0,19,1,4,19,0.00342044360939541,947276,"PF"
"Bismack Biyombo",454,655,29,19,133,132,84,71,82,0.0228842957050585,3e+06,"C"
"Bruno Caboclo",3,2,1,2,1,11,0,4,6,-0.00198279729184457,1524000,"SF"
"DeMarre Carroll",286,122,27,44,6,165,20,28,26,0.0173814157959197,13500000,"SF"
"DeMar DeRozan",1830,349,315,81,21,763,98,175,78,0.0346524002239133,9500000,"SG"
"James Johnson",287,126,67,29,33,126,29,54,57,0.0114717196246146,2500000,"PF"
"Cory Joseph",677,210,250,63,20,328,41,102,80,0.0156967248183147,7e+06,"SG"
"Kyle Lowry",1634,365,494,158,34,686,93,225,77,0.0337263900035466,1.2e+07,"PG"
"Lucas Nogueira",65,46,7,12,12,16,7,11,29,0.0069056353127392,1842000,"C"
"Patrick Patterson",543,342,94,53,32,289,5,65,79,0.0175591800829639,6268675,"PF"
"Norman Powell",273,111,47,29,10,132,10,32,49,0.0100888737951969,650000,"SG"
"Terrence Ross",720,185,56,54,25,356,13,46,73,0.0144336830771288,3553917,"SF"
"Luis Scola",664,360,66,46,27,329,23,68,76,0.0197035209988141,3e+06,"PF"
"Jason Thompson",87,80,10,8,12,34,4,8,19,0.0147401271075292,328955,"C"
"Jonas Valanciunas",768,547,42,25,80,233,51,85,60,0.034566090354499,4660482,"C"
"Delon Wright",103,37,31,8,3,44,9,16,27,0.00643091663151226,1509360,"PG"
"Chris Bosh",1010,390,128,36,34,409,55,78,53,0.0404492427049601,22192730,"PF"
"Luol Deng",911,443,140,74,29,406,47,81,74,0.0287814030435568,10151612,"PF"
"Goran Dragic",1018,277,419,71,17,458,45,185,72,0.0237199599763199,14780000,"PG"
"Gerald Green",616,163,56,38,19,357,20,46,69,0.0115012199081169,1356000,"SG"
"Udonis Haslem",59,75,14,5,2,38,4,5,37,0.00573707846229573,2854940,"PF"
"Joe Johnson",321,68,86,21,2,121,8,43,24,0.0230321958307061,414481,"SF"
"Tyler Johnson",314,109,79,24,14,125,13,47,36,0.0165776179234529,845059,"SG"
"Josh McRoberts",150,105,81,18,7,93,12,30,42,0.0101040597305173,5543725,"PF"
"Josh Richardson",341,107,73,36,25,149,21,35,52,0.0120997191103157,525093,"SG"
"Amar'e Stoudemire",300,222,27,18,41,96,17,47,52,0.0161228075847788,1499187,"C"
"Beno Udrih",158,63,90,11,0,86,2,42,36,0.00805194211908425,2170465,"PG"
"Dwyane Wade",1409,302,344,79,42,643,84,203,74,0.0287430887614432,2e+07,"SG"
"Briante Weber",2,1,1,0,0,0,0,0,1,0.00617052305161486,12355,"PG"
"Hassan Whiteside",1040,865,30,44,269,269,115,137,73,0.0443630735151168,981348,"C"
"Justise Winslow",502,403,117,68,26,267,37,95,78,0.0150084186174477,2481720,"SF"
"Kent Bazemore",872,379,171,98,38,405,28,138,75,0.0217604588970318,2e+06,"SF"
"Tim Hardaway",326,86,51,21,7,151,6,23,51,0.0103627149539681,1304520,"SG"
"Kirk Hinrich",5,12,14,2,1,9,0,3,11,0.00277795282274215,2870000,"PG"
