"","player","salaries","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"1","Matthew Dellavedova",1147280,"PG",76,198,76,207,511,57,66,162,337,44,9,116,178,569,"CLE"
"2","Channing Frye",7807579,"C",83,255,26,71,161,11,14,93,26,8,8,13,56,196,"CLE"
"3","Kyrie Irving",14746000,"PG",75,193,53,394,879,169,191,157,249,56,18,124,107,1041,"CLE"
"4","LeBron James",22971000,"SF",80,250,76,737,1416,359,491,565,514,104,49,249,143,1920,"CLE"
"5","Richard Jefferson",1499000,"SF",79,233,74,143,312,58,87,128,59,33,14,43,129,410,"CLE"
"6","Dahntay Jones",8819,"SF",78,225,1,6,14,0,0,5,2,1,2,0,6,13,"CLE"
"7","James Jones",1499000,"SF",80,218,48,58,142,21,26,50,14,11,10,13,50,178,"CLE"
"8","Sasha Kaun",1300000,"C",83,260,25,9,17,5,11,26,3,4,5,7,11,23,"CLE"
"9","Kevin Love",19500000,"PF",82,251,77,409,977,258,314,762,186,58,41,142,159,1234,"CLE"
"10","Jordan McRae",172972,"PG",78,185,15,23,52,9,13,12,15,0,1,9,10,62,"CLE"
"11","Timofey Mozgov",4950000,"C",85,275,76,203,359,68,95,337,33,22,57,71,159,475,"CLE"
"12","Iman Shumpert",9e+06,"SG",77,220,54,114,305,40,51,203,92,54,19,57,119,311,"CLE"
"13","J.R. Smith",5e+06,"SG",78,225,77,353,850,45,71,217,130,81,21,59,204,955,"CLE"
"14","Tristan Thompson",14260870,"PF",81,238,82,247,420,149,242,738,62,38,51,61,202,643,"CLE"
"15","Mo Williams",2100000,"PG",73,198,41,132,302,38,42,72,98,14,5,57,60,338,"CLE"
"16","Anthony Bennett",947276,"PF",80,245,19,8,27,9,10,23,0,5,0,4,8,28,"TOR"
"17","Bismack Biyombo",3e+06,"C",81,255,82,156,288,142,226,655,29,19,133,71,225,454,"TOR"
"18","Bruno Caboclo",1524000,"SF",81,218,6,1,12,0,0,2,1,2,1,4,2,3,"TOR"
"19","DeMarre Carroll",13500000,"SF",80,215,26,105,270,30,50,122,27,44,6,28,63,286,"TOR"
"20","DeMar DeRozan",9500000,"SG",79,221,78,614,1377,555,653,349,315,81,21,175,167,1830,"TOR"
"21","James Johnson",2500000,"PF",81,250,57,114,240,39,68,126,67,29,33,54,84,287,"TOR"
"22","Cory Joseph",7e+06,"SG",75,193,80,257,585,133,174,210,250,63,20,102,131,677,"TOR"
"23","Kyle Lowry",1.2e+07,"PG",73,196,77,512,1198,398,491,365,494,158,34,225,211,1634,"TOR"
"24","Lucas Nogueira",1842000,"C",84,241,29,28,44,8,15,46,7,12,12,11,29,65,"TOR"
"25","Patrick Patterson",6268675,"PF",81,230,79,204,493,29,34,342,94,53,32,65,128,543,"TOR"
"26","Norman Powell",650000,"SG",76,215,49,97,229,43,53,111,47,29,10,32,59,273,"TOR"
"27","Terrence Ross",3553917,"SF",79,206,73,270,626,49,62,185,56,54,25,46,120,720,"TOR"
"28","Luis Scola",3e+06,"PF",81,240,76,269,598,61,84,360,66,46,27,68,178,664,"TOR"
"29","Jason Thompson",328955,"C",83,250,19,32,66,18,22,80,10,8,12,8,40,87,"TOR"
"30","Jonas Valanciunas",4660482,"C",84,265,60,303,536,162,213,547,42,25,80,85,158,768,"TOR"
"31","Delon Wright",1509360,"PG",77,183,27,36,80,26,35,37,31,8,3,16,7,103,"TOR"
"32","Chris Bosh",22192730,"PF",83,235,53,358,767,213,268,390,128,36,34,78,101,1010,"MIA"
"33","Luol Deng",10151612,"PF",81,220,74,339,745,145,192,443,140,74,29,81,122,911,"MIA"
"34","Goran Dragic",14780000,"PG",75,190,72,417,875,120,165,277,419,71,17,185,188,1018,"MIA"
"35","Gerald Green",1356000,"SG",79,205,69,230,587,72,92,163,56,38,19,46,123,616,"MIA"
"36","Udonis Haslem",2854940,"PF",80,235,37,23,61,12,16,75,14,5,2,5,25,59,"MIA"
"37","Joe Johnson",414481,"SF",79,240,24,130,251,26,34,68,86,21,2,43,46,321,"MIA"
"38","Tyler Johnson",845059,"SG",76,186,36,118,243,51,64,109,79,24,14,47,66,314,"MIA"
"39","Josh McRoberts",5543725,"PF",82,240,42,55,148,28,40,105,81,18,7,30,68,150,"MIA"
"40","Josh Richardson",525093,"SG",78,200,52,123,272,42,63,107,73,36,25,35,107,341,"MIA"
"41","Amar'e Stoudemire",1499187,"C",82,245,52,125,221,50,67,222,27,18,41,47,92,300,"MIA"
"42","Beno Udrih",2170465,"PG",75,205,36,66,152,15,17,63,90,11,0,42,40,158,"MIA"
"43","Dwyane Wade",2e+07,"SG",76,220,74,540,1183,322,406,302,344,79,42,203,116,1409,"MIA"
"44","Briante Weber",12355,"PG",74,165,1,1,1,0,0,1,1,0,0,0,1,2,"MIA"
"45","Hassan Whiteside",981348,"C",84,265,73,413,682,214,329,865,30,44,269,137,201,1040,"MIA"
"46","Justise Winslow",2481720,"SF",79,225,78,195,462,80,117,403,117,68,26,95,184,502,"MIA"
"47","Kent Bazemore",2e+06,"SF",77,201,75,320,725,123,151,379,171,98,38,138,176,872,"ATL"
"48","Tim Hardaway",1304520,"SG",78,205,51,114,265,50,56,86,51,21,7,23,48,326,"ATL"
"49","Kirk Hinrich",2870000,"PG",76,190,11,2,11,0,0,12,14,2,1,3,1,5,"ATL"
"50","Al Horford",1.2e+07,"C",82,245,82,529,1048,103,129,596,263,68,121,107,163,1249,"ATL"
"51","Kris Humphries",388025,"PF",81,235,21,47,101,32,45,71,13,10,7,14,44,134,"ATL"
"52","Kyle Korver",5746479,"SG",79,212,80,268,616,45,54,260,164,60,35,98,161,739,"ATL"
"53","Paul Millsap",1.9e+07,"PF",80,246,81,501,1066,309,408,732,265,147,139,191,237,1385,"ATL"
"54","Mike Muscala",947276,"C",83,240,60,76,152,31,39,117,34,13,27,27,72,195,"ATL"
"55","Lamar Patterson",525093,"SG",77,225,35,28,80,16,22,50,39,9,2,23,45,84,"ATL"
"56","Dennis Schroder",1763400,"PG",73,172,80,329,781,144,182,204,349,70,9,183,138,879,"ATL"
"57","Mike Scott",3333333,"PF",80,237,75,176,376,50,63,206,78,25,17,42,102,464,"ATL"
"58","Thabo Sefolosha",4e+06,"SF",79,220,75,188,372,62,99,334,107,85,37,68,109,480,"ATL"
"59","Tiago Splitter",8500000,"C",83,245,36,81,155,39,48,120,30,20,12,24,71,201,"ATL"
"60","Walter Tavares",1e+06,"C",87,260,11,11,19,3,8,21,3,1,6,5,8,25,"ATL"
"61","Jeff Teague",8e+06,"PG",74,186,79,434,988,261,312,214,470,97,24,218,167,1239,"ATL"
"62","Avery Bradley",7730337,"SG",74,180,76,456,1019,96,123,220,158,117,19,109,164,1155,"BOS"
"63","Coty Clarke",61776,"SF",79,232,3,2,4,0,0,1,0,0,0,1,0,6,"BOS"
"64","Jae Crowder",6e+06,"SF",78,235,73,360,813,196,239,373,135,126,35,83,198,1038,"BOS"
"65","R.J. Hunter",1148640,"SG",77,185,36,36,98,6,7,37,13,14,4,11,29,97,"BOS"
"66","Jonas Jerebko",5e+06,"PF",82,231,78,118,286,61,78,288,62,20,24,52,137,340,"BOS"
"67","Amir Johnson",1.2e+07,"PF",81,240,79,249,426,69,121,505,138,52,83,94,214,577,"BOS"
"68","David Lee",15493680,"PF",81,245,30,87,192,40,51,130,54,12,13,38,51,214,"BOS"
"69","Jordan Mickey",1200000,"PF",80,235,16,8,22,5,10,13,1,0,11,1,5,21,"BOS"
"70","Kelly Olynyk",2165160,"C",84,238,69,253,556,96,128,281,105,52,33,74,163,687,"BOS"
"71","Terry Rozier",1824360,"PG",74,190,39,29,106,8,10,63,37,6,1,19,23,72,"BOS"
"72","Marcus Smart",3431040,"PG",76,220,61,184,529,129,166,255,185,91,18,80,183,558,"BOS"
"73","Jared Sullinger",2269260,"PF",81,260,81,351,806,103,161,673,187,75,47,102,209,834,"BOS"
"74","Isaiah Thomas",6912869,"PG",69,185,82,591,1382,474,544,243,509,91,9,220,167,1823,"BOS"
"75","Evan Turner",3425510,"SG",79,220,81,343,753,148,179,397,359,80,28,169,139,854,"BOS"
"76","James Young",1749840,"SG",78,215,29,11,36,1,4,26,9,6,1,5,17,29,"BOS"
"77","Tyler Zeller",2616975,"C",84,253,60,138,290,88,108,178,29,10,22,46,97,364,"BOS"
"78","Nicolas Batum",12235750,"SF",80,200,70,372,873,163,192,428,403,65,43,205,114,1046,"CHO"
"79","Troy Daniels",947276,"SG",76,205,43,89,187,5,9,57,21,11,3,24,40,242,"CHO"
"80","Jorge Gutierrez",301444,"PG",75,191,12,6,11,10,11,7,17,3,0,6,3,22,"CHO"
"81","Tyler Hansbrough",1185784,"PF",81,250,44,32,71,38,65,89,8,12,7,12,55,104,"CHO"
"82","Aaron Harrison",525093,"SG",78,210,21,5,19,5,12,15,2,6,0,4,10,18,"CHO"
"83","Spencer Hawes",5543725,"PF",85,245,57,124,306,54,65,244,109,22,27,58,111,340,"CHO"
"84","Al Jefferson",13833333,"C",82,289,47,245,505,72,111,301,70,30,41,34,117,562,"CHO"
"85","Frank Kaminsky",2612500,"C",84,242,81,215,525,108,148,335,98,38,43,58,126,606,"CHO"
"86","Michael Kidd-Gilchrist",6331404,"SF",79,232,7,33,61,20,29,45,9,3,3,8,9,89,"CHO"
"87","Jeremy Lamb",3034356,"SG",77,185,66,230,510,64,88,252,77,42,30,50,105,580,"CHO"
"88","Courtney Lee",5675000,"SG",77,200,28,98,220,23,26,87,60,33,12,23,55,250,"CHO"
"89","Jeremy Lin",2100000,"SG",75,200,78,300,728,238,292,253,235,58,42,150,165,914,"CHO"
"90","Kemba Walker",1.2e+07,"PG",73,172,81,568,1331,371,438,357,421,126,39,171,111,1689,"CHO"
"91","Marvin Williams",7e+06,"PF",81,237,81,338,747,120,144,521,110,58,77,62,133,948,"CHO"
"92","Cody Zeller",4204200,"C",84,240,73,231,437,175,232,455,71,57,63,68,204,638,"CHO"
"93","Lavoy Allen",3700000,"PF",81,260,79,191,370,46,73,424,76,26,42,69,147,428,"IND"
"94","Chase Budinger",5e+06,"SF",79,209,49,81,194,34,48,121,49,29,9,31,46,216,"IND"
"95","Rakeem Christmas",1e+06,"PF",81,250,1,2,2,0,0,1,0,0,0,0,1,4,"IND"
"96","Monta Ellis",10300000,"SG",75,185,81,436,1021,162,206,271,383,150,37,203,174,1121,"IND"
"97","Paul George",17120106,"SF",81,220,81,605,1449,454,528,563,329,152,29,265,230,1874,"IND"
"98","George Hill",8e+06,"PG",75,188,74,326,739,114,150,298,259,83,17,101,149,894,"IND"
"99","Jordan Hill",4e+06,"C",82,235,73,278,549,89,125,451,87,36,37,92,155,645,"IND"
"100","Solomon Hill",1358880,"SF",79,225,59,93,208,36,42,166,57,37,11,33,68,246,"IND"
"101","Ty Lawson",265058,"PG",71,195,13,28,67,3,6,31,57,10,1,13,16,64,"IND"
